Product_ID,Product_ID,Product_Title,Brand,Description,Category,Price,Price,Original_Price,Discount,Rating,Rating,Rating_Count,Rating_Count,Image_URL,Ram_Storage,Processor,Camera_Specs,Battery,Store,feature_list,combined_text,reviews
1,1,Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,Apple,"Apple iPhone 15 Pro Max with forged titanium design, Super Retina XDR OLED display, A17 Pro chip with 6-core GPU, 48MP main camera with 5x optical zoom telephoto, USB-C 3 speeds, and Action button.",Smartphones,149900,149900,159900,6% OFF,4.8,4.8,1420,1420,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=800&auto=format&fit=crop&q=80,8GB RAM | 256GB Storage,A17 Pro Bionic Chip,48MP Main + 12MP Ultra-wide + 12MP 5x Telephoto,4422 mAh (Up to 29 hrs Video Playback),Apple Official Store,"['Titanium Build', 'A17 Pro', '48MP Camera', 'Dynamic Island', 'USB-C 3']","Apple iPhone 15 Pro Max (256 GB) - Natural Titanium Apple iPhone 15 Pro Max with forged titanium design, Super Retina XDR OLED display, A17 Pro chip with 6-core GPU, 48MP main camera with 5x optical zoom telephoto, USB-C 3 speeds, and Action button. Smartphones Smartphones|Apple|Flagship|5G","[{""user"": ""Rohan Sharma"", ""rating"": 5, ""comment"": ""Unbelievable build quality and battery life! The 5x optical zoom is super sharp."", ""date"": ""2026-07-15""}, {""user"": ""Priya Patel"", ""rating"": 5, ""comment"": ""A17 Pro plays AAA games effortlessly. Titanium body feels premium yet light."", ""date"": ""2026-07-28""}]"
2,2,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 12GB RAM, 512GB Storage)",Samsung,"Samsung Galaxy S24 Ultra 5G powered by Galaxy AI, Snapdragon 8 Gen 3 for Galaxy, 200MP camera with Quad Tele system, Built-in S-Pen, Titanium Frame, and 6.8-inch QHD+ Dynamic AMOLED 2X display.",Smartphones,129999,129999,144999,10% OFF,4.7,4.7,2150,2150,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=800&auto=format&fit=crop&q=80,12GB RAM | 512GB Storage,Snapdragon 8 Gen 3 for Galaxy,200MP Main + 50MP Periscope + 12MP Ultra-wide + 10MP Telephoto,5000 mAh with 45W Super Fast Charging,Samsung India,"['Galaxy AI', '200MP Quad Camera', 'S-Pen Included', 'Titanium Armor Frame']","Samsung Galaxy S24 Ultra 5G (Titanium Gray, 12GB RAM, 512GB Storage) Samsung Galaxy S24 Ultra 5G powered by Galaxy AI, Snapdragon 8 Gen 3 for Galaxy, 200MP camera with Quad Tele system, Built-in S-Pen, Titanium Frame, and 6.8-inch QHD+ Dynamic AMOLED 2X display. Smartphones Smartphones|Samsung|Flagship|Galaxy|AI","[{""user"": ""Vikram Singh"", ""rating"": 5, ""comment"": ""Galaxy AI features like Circle to Search and Live Translate are game changers!"", ""date"": ""2026-06-10""}]"
3,3,"OnePlus 12 5G (Silky Black, 16GB RAM, 512GB Storage)",OnePlus,"OnePlus 12 5G featuring 4th Gen Hasselblad Camera System for Mobile, Snapdragon 8 Gen 3 Mobile Platform, 2K 120 Hz ProXDR Display, and 5400 mAh Battery with 100W SUPERVOOC Charging.",Smartphones,69999,69999,74999,7% OFF,4.6,4.6,3800,3800,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=800&auto=format&fit=crop&q=80,16GB RAM | 512GB Storage,Snapdragon 8 Gen 3,50MP Sony LYT-808 + 64MP Periscope + 48MP Ultra-wide Hasselblad,5400 mAh with 100W Wired & 50W AIRVOOC,OnePlus Direct,"['Hasselblad Camera', '100W SUPERVOOC', 'Snapdragon 8 Gen 3', '2K 120Hz ProXDR']","OnePlus 12 5G (Silky Black, 16GB RAM, 512GB Storage) OnePlus 12 5G featuring 4th Gen Hasselblad Camera System for Mobile, Snapdragon 8 Gen 3 Mobile Platform, 2K 120 Hz ProXDR Display, and 5400 mAh Battery with 100W SUPERVOOC Charging. Smartphones Smartphones|OnePlus|Flagship|Hasselblad","[{""user"": ""Amit Kumar"", ""rating"": 5, ""comment"": ""Charges from 1% to 100% in under 26 minutes! Super fast performance."", ""date"": ""2026-07-12""}]"
4,4,"Google Pixel 8 Pro (Obsidian, 12GB RAM, 128GB Storage)",Google,"Google Pixel 8 Pro powered by Google Tensor G3 with Google AI, fully upgraded pro triple cameras, Temperature sensor, Super Actua display, and 7 years of OS updates.",Smartphones,99999,99999,106999,7% OFF,4.5,4.5,980,980,https://images.unsplash.com/photo-1592899677977-9c10ca588bbd?w=800&auto=format&fit=crop&q=80,12GB RAM | 128GB Storage,Google Tensor G3,50MP Main + 48MP Ultra-wide + 48MP 5x Telephoto,5050 mAh with 30W Fast Charging,Google Store India,"['Tensor G3', 'Best AI Photography', 'Best Take', '7 Years Updates']","Google Pixel 8 Pro (Obsidian, 12GB RAM, 128GB Storage) Google Pixel 8 Pro powered by Google Tensor G3 with Google AI, fully upgraded pro triple cameras, Temperature sensor, Super Actua display, and 7 years of OS updates. Smartphones Smartphones|Google|Pixel|Camera|AI","[{""user"": ""Sanjay Rao"", ""rating"": 5, ""comment"": ""Best camera algorithms on any phone. Skin tones look natural."", ""date"": ""2026-06-20""}]"
5,5,"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage)",Nothing,"Nothing Phone (2a) 5G with iconic Glyph Interface, MediaTek Dimensity 7200 Pro processor, 50 MP dual rear camera with OIS, 120Hz flexible AMOLED display, and Clean Nothing OS 2.5.",Smartphones,23999,23999,25999,8% OFF,4.4,4.4,5200,5200,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800&auto=format&fit=crop&q=80,8GB RAM | 128GB Storage,Dimensity 7200 Pro,50MP OIS Main + 50MP Ultra-wide,5000 mAh with 45W Fast Charging,Nothing Official,"['Glyph Interface', 'Clean OS', '50MP Dual OIS Camera', '120Hz AMOLED']","Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) Nothing Phone (2a) 5G with iconic Glyph Interface, MediaTek Dimensity 7200 Pro processor, 50 MP dual rear camera with OIS, 120Hz flexible AMOLED display, and Clean Nothing OS 2.5. Smartphones Smartphones|Nothing|Budget|Glyph","[{""user"": ""Karan Malhotra"", ""rating"": 5, ""comment"": ""Unique transparent design and glyph lights turn heads everywhere!"", ""date"": ""2026-07-22""}]"
6,6,"Xiaomi Redmi Note 13 Pro+ 5G (Fusion Purple, 12GB RAM, 256GB Storage)",Xiaomi,"Xiaomi Redmi Note 13 Pro+ 5G with 3D Curved 1.5K 120Hz AMOLED Display, 200MP OIS Camera with 4x lossless zoom, IP68 Water & Dust Resistance, and 120W HyperCharge.",Smartphones,31999,31999,35999,11% OFF,4.3,4.3,8400,8400,https://images.unsplash.com/photo-1565849904461-04a58ad377e0?w=800&auto=format&fit=crop&q=80,12GB RAM | 256GB Storage,Dimensity 7200-Ultra,200MP OIS Main + 8MP Ultra-wide + 2MP Macro,5000 mAh with 120W HyperCharge,Xiaomi India,"['200MP OIS Camera', '120W Charging', '3D Curved Display', 'IP68']","Xiaomi Redmi Note 13 Pro+ 5G (Fusion Purple, 12GB RAM, 256GB Storage) Xiaomi Redmi Note 13 Pro+ 5G with 3D Curved 1.5K 120Hz AMOLED Display, 200MP OIS Camera with 4x lossless zoom, IP68 Water & Dust Resistance, and 120W HyperCharge. Smartphones Smartphones|Xiaomi|Redmi|Camera","[{""user"": ""Deepak Joshi"", ""rating"": 4, ""comment"": ""Curved screen looks premium like a 70k phone."", ""date"": ""2026-07-05""}]"
7,7,"ASUS ROG Strix G16 Gaming Desktop PC (Intel Core i9-14900KF, RTX 4080 Super 16GB, 32GB DDR5, 2TB SSD, Liquid Cooled)",ASUS,"ASUS ROG Strix G16 flagship gaming desktop computer powered by 14th Gen Intel Core i9-14900KF processor, NVIDIA GeForce RTX 4080 Super 16GB GDDR6X GPU, 32GB DDR5 RAM, 2TB PCIe 4.0 NVMe SSD, 240mm liquid cooling system, and Aura Sync RGB glass side panel.",Laptops & PCs,289990,289990,319990,9% OFF,4.9,4.9,340,340,https://images.unsplash.com/photo-1587202372775-e229f172b9d7?w=800&auto=format&fit=crop&q=80,32GB DDR5 RAM | 2TB PCIe 4.0 NVMe SSD,14th Gen Intel Core i9-14900KF (24 Cores / 5.8GHz),N/A (Desktop Tower),850W 80 Gold Power Supply Unit,ASUS ROG Store,"['RTX 4080 Super 16GB', 'Liquid Cooled i9-14900KF', 'Tempered Glass RGB Case', 'Wi-Fi 6E']","ASUS ROG Strix G16 Gaming Desktop PC (Intel Core i9-14900KF, RTX 4080 Super 16GB, 32GB DDR5, 2TB SSD, Liquid Cooled) ASUS ROG Strix G16 flagship gaming desktop computer powered by 14th Gen Intel Core i9-14900KF processor, NVIDIA GeForce RTX 4080 Super 16GB GDDR6X GPU, 32GB DDR5 RAM, 2TB PCIe 4.0 NVMe SSD, 240mm liquid cooling system, and Aura Sync RGB glass side panel. Laptops & PCs Laptops & PCs|ASUS|ROG|GamingPC|Desktop|RTX4080","[{""user"": ""Yash Pal"", ""rating"": 5, ""comment"": ""Absolute monster PC! Runs Cyberpunk 2077 at 4K Ultra Ray Tracing at 120+ FPS easily."", ""date"": ""2026-07-29""}]"
8,8,"HP OMEN 45L Gaming Desktop PC (AMD Ryzen 9 7900X, RTX 4070 Ti Super 16GB, 32GB DDR5 RAM, 1TB NVMe SSD)",HP,"HP OMEN 45L Gaming Desktop with revolutionary Cryo Chamber cooling system, AMD Ryzen 9 7900X 12-core CPU, NVIDIA GeForce RTX 4070 Ti Super 16GB, 32GB Kingston FURY DDR5 RGB memory, and 1TB WD Black PCIe SSD.",Laptops & PCs,234990,234990,259990,10% OFF,4.8,4.8,290,290,https://images.unsplash.com/photo-1593640408182-31c70c8268f5?w=800&auto=format&fit=crop&q=80,32GB Kingston FURY DDR5 RAM | 1TB M.2 SSD,AMD Ryzen 9 7900X (12 Cores / 24 Threads),N/A (Desktop Tower),800W 80 Plus Gold PSU,HP Store India,"['OMEN Cryo Chamber', 'RTX 4070 Ti Super', 'Tool-less Glass Case', 'Kingston RGB RAM']","HP OMEN 45L Gaming Desktop PC (AMD Ryzen 9 7900X, RTX 4070 Ti Super 16GB, 32GB DDR5 RAM, 1TB NVMe SSD) HP OMEN 45L Gaming Desktop with revolutionary Cryo Chamber cooling system, AMD Ryzen 9 7900X 12-core CPU, NVIDIA GeForce RTX 4070 Ti Super 16GB, 32GB Kingston FURY DDR5 RGB memory, and 1TB WD Black PCIe SSD. Laptops & PCs Laptops & PCs|HP|OMEN|GamingPC|Desktop|RTX4070Ti","[{""user"": ""Harish Chandra"", ""rating"": 5, ""comment"": ""Patented Cryo Chamber keeps CPU temperatures under 65 degrees even on heavy rendering loads."", ""date"": ""2026-07-11""}]"
9,9,"Apple MacBook Air 15-inch M3 Chip (16GB RAM, 512GB SSD) - Starlight",Apple,"Apple MacBook Air 15-inch with M3 chip, 8-core CPU and 10-core GPU, Liquid Retina display, 1080p FaceTime HD camera, MagSafe 3 charging, and up to 18 hours of battery life.",Laptops & PCs,154900,154900,164900,6% OFF,4.9,4.9,890,890,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800&auto=format&fit=crop&q=80,16GB Unified Memory | 512GB SSD,Apple M3 Chip (8-Core CPU / 10-Core GPU),1080p FaceTime HD Camera,Up to 18 Hours Battery Life,Apple Official Store,"['M3 Chip', '15.3-inch Liquid Retina Display', 'Fanless Silent Design', 'MagSafe 3']","Apple MacBook Air 15-inch M3 Chip (16GB RAM, 512GB SSD) - Starlight Apple MacBook Air 15-inch with M3 chip, 8-core CPU and 10-core GPU, Liquid Retina display, 1080p FaceTime HD camera, MagSafe 3 charging, and up to 18 hours of battery life. Laptops & PCs Laptops & PCs|Apple|MacBook|Ultrabook|M3","[{""user"": ""Ananya Nair"", ""rating"": 5, ""comment"": ""Dead silent, blazing fast for video editing, and battery lasts 2 full workdays!"", ""date"": ""2026-06-18""}]"
10,10,"ASUS ROG Zephyrus G16 Gaming Laptop (16-inch 240Hz OLED, Intel Core Ultra 9, RTX 4070 8GB, 32GB RAM, 1TB SSD)",ASUS,"ASUS ROG Zephyrus G16 AI Gaming Laptop featuring 2.5K 240Hz ROG Nebula OLED display, Intel Core Ultra 9 185H processor, NVIDIA GeForce RTX 4070 GPU, CNC Aluminum chassis, and ROG Intelligent Cooling.",Laptops & PCs,219990,219990,249990,12% OFF,4.8,4.8,420,420,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=800&auto=format&fit=crop&q=80,32GB LPDDR5X RAM | 1TB PCIe 4.0 SSD,Intel Core Ultra 9 185H (16 Cores / NPU AI),1080p FHD IR Camera with Windows Hello,90Wh Battery with 100W USB-C PD Charging,ASUS ROG Store,"['240Hz OLED Display', 'RTX 4070 8GB', 'CNC Aluminum', 'Tri-Fan Cooling']","ASUS ROG Zephyrus G16 Gaming Laptop (16-inch 240Hz OLED, Intel Core Ultra 9, RTX 4070 8GB, 32GB RAM, 1TB SSD) ASUS ROG Zephyrus G16 AI Gaming Laptop featuring 2.5K 240Hz ROG Nebula OLED display, Intel Core Ultra 9 185H processor, NVIDIA GeForce RTX 4070 GPU, CNC Aluminum chassis, and ROG Intelligent Cooling. Laptops & PCs Laptops & PCs|ASUS|ROG|Gaming|RTX4070","[{""user"": ""Rahul Verma"", ""rating"": 5, ""comment"": ""OLED screen colors are breathtaking and Cyberpunk 2077 runs smooth at 90+ FPS!"", ""date"": ""2026-07-14""}]"
